enode://8bdec970ef1fd59f7d104d80e35374acdfea6204130b39c105a06e9ef51ca101ef3fa9f4d96af3ba67897e7d3eafb0b023f555592cb64fc2071a913950f26d3e@127.0.0.1:0?discport=30301
Note: you're using cmd/bootnode, a developer tool.
We recommend using a regular node as bootstrap node for production deployments.
INFO [11-27|11:38:01.283] New local node record                    seq=1,701,081,481,280 id=12922c09e600dfc2 ip=<nil> udp=0 tcp=0
TRACE[11-27|11:38:26.864] >> NEIGHBORS/v4                          id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:27.308] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:27.309] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:27.365] << FINDNODE/v4                           id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:27.366] >> NEIGHBORS/v4                          id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:27.809] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:27.809] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:27.866] << FINDNODE/v4                           id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:27.866] >> NEIGHBORS/v4                          id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:28.310] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:28.311] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:28.367] << FINDNODE/v4                           id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:28.367] >> NEIGHBORS/v4                          id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:28.811] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:28.812] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:28.865] >> PING/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:28.866] << PONG/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:28.866] >> ENRREQUEST/v4                         id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:28.867] << ENRRESPONSE/v4                        id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
DEBUG[11-27|11:38:28.867] Revalidated node                         b=16 id=d09aea4a2896c678 checks=1
TRACE[11-27|11:38:28.867] << FINDNODE/v4                           id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:28.868] >> NEIGHBORS/v4                          id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:29.312] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:29.312] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:29.369] << FINDNODE/v4                           id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:29.369] >> NEIGHBORS/v4                          id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:29.813] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:29.814] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:29.870] << FINDNODE/v4                           id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:29.870] >> NEIGHBORS/v4                          id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:30.315] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:30.315] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
